Product ID,Product Name,Category,Sub-Category,Sales Region,Sale Date,Quantity Sold,Unit Price (INR),Total Revenue (INR),Discount (%),Sales Channel,Customer Type,Season
P001,Hybrid Maize Seeds,Cereals,Maize,East,25-11-2024,92,103.84,8635.21,9.61,E-commerce,Farmer,Rabi
P001,Hybrid Maize Seeds,Cereals,Maize,West,22-11-2024,438,115.94,48704.75,4.09,Direct Sales,Retailer,Kharif
P008,Soybean Seeds,Pulses,Soybean,East,16-11-2024,316,230.37,69819.53,4.09,Retail,Distributor,Zaid
P008,Soybean Seeds,Pulses,Soybean,North,27-10-2024,249,116.58,25713.37,11.42,Wholesale,Retailer,Kharif
P001,Hybrid Maize Seeds,Cereals,Maize,East,20-09-2024,165,469.15,68546.33,11.45,E-commerce,Retailer,Zaid
P004,Sunflower Seeds,Oilseeds,Sunflower,East,04-12-2024,481,303.92,128511.69,12.09,Direct Sales,Farmer,Kharif
P005,Tomato Seeds,Vegetables,Tomato,South,28-12-2024,396,282.83,111026.27,0.87,E-commerce,Distributor,Zaid
P009,Chilli Seeds,Spices,Chilli,East,15-10-2024,444,305.15,115353.29,14.86,Direct Sales,Retailer,Rabi
P010,Wheat Seeds,Cereals,Wheat,South,23-11-2024,269,383.4,96585.55,6.35,E-commerce,Retailer,Kharif
P004,Sunflower Seeds,Oilseeds,Sunflower,East,17-09-2024,375,373.4,121093.62,13.52,Retail,Farmer,Kharif
P005,Tomato Seeds,Vegetables,Tomato,East,13-11-2024,49,229.46,10697.1,4.86,Wholesale,Distributor,Kharif
P006,Brinjal Seeds,Vegetables,Brinjal,East,21-12-2024,65,61.14,3787.71,4.69,E-commerce,Retailer,Zaid
P004,Sunflower Seeds,Oilseeds,Sunflower,South,30-09-2024,25,337.76,8286.94,1.86,Retail,Distributor,Kharif
P002,Basmati Rice Seeds,Cereals,Rice,West,23-12-2024,141,117.63,16483,0.62,Direct Sales,Distributor,Rabi
P009,Chilli Seeds,Spices,Chilli,Central,27-09-2024,138,206.33,28163.18,1.09,E-commerce,Retailer,Rabi
P005,Tomato Seeds,Vegetables,Tomato,South,16-09-2024,366,302.37,91654.76,17.18,E-commerce,Retailer,Rabi
P009,Chilli Seeds,Spices,Chilli,East,16-10-2024,130,384.53,48014.34,3.95,Wholesale,Retailer,Rabi
P010,Wheat Seeds,Cereals,Wheat,East,20-09-2024,48,64.95,2939.9,5.7,Direct Sales,Distributor,Zaid
P008,Soybean Seeds,Pulses,Soybean,East,17-09-2024,59,196.09,9419.73,18.58,Direct Sales,Farmer,Kharif
P006,Brinjal Seeds,Vegetables,Brinjal,South,09-10-2024,335,306.54,90809.56,11.57,Retail,Retailer,Kharif
P005,Tomato Seeds,Vegetables,Tomato,Central,01-12-2024,312,336.6,98970.09,5.76,Direct Sales,Farmer,Kharif
P006,Brinjal Seeds,Vegetables,Brinjal,East,29-11-2024,70,143.37,8857.69,11.74,Wholesale,Distributor,Zaid
P010,Wheat Seeds,Cereals,Wheat,West,18-12-2024,315,460.75,119911.57,17.38,E-commerce,Distributor,Zaid
P009,Chilli Seeds,Spices,Chilli,North,12-09-2024,14,132.87,1695,8.88,Retail,Retailer,Kharif
P009,Chilli Seeds,Spices,Chilli,North,16-10-2024,18,283.77,4320.74,15.41,E-commerce,Farmer,Rabi
P003,Groundnut Seeds,Oilseeds,Groundnut,South,24-09-2024,374,397.37,129459.73,12.89,Wholesale,Retailer,Zaid
P008,Soybean Seeds,Pulses,Soybean,East,26-09-2024,114,151.6,16290.39,5.74,E-commerce,Retailer,Zaid
P001,Hybrid Maize Seeds,Cereals,Maize,East,12-09-2024,336,219.89,73151.6,0.99,E-commerce,Farmer,Rabi
P010,Wheat Seeds,Cereals,Wheat,South,28-09-2024,265,473.17,106581.54,15,Wholesale,Farmer,Rabi
P010,Wheat Seeds,Cereals,Wheat,Central,15-09-2024,241,64.82,15577.88,0.28,E-commerce,Retailer,Zaid
P004,Sunflower Seeds,Oilseeds,Sunflower,South,14-09-2024,302,113.59,30221.98,11.9,Wholesale,Distributor,Rabi
